EmployeeID,Department,MeetingDateTime,MeetingDuration,MeetingType,NumberOfParticipants,MessageCount,AfterHoursMeetings,ProductivityScore,ContextSwitchCount,BurnoutRiskIndex
1114,Sales,17-05-2025 15:33,86,Client,12,136,Yes,86,0,0.669
1059,Tech,29-04-2025 09:56,65,01:01,11,171,Yes,73,14,0.771
1749,Ops,24-07-2025 01:33,73,01:01,7,159,Yes,81,8,0.726
1131,Ops,02-03-2025 16:23,66,Team,2,61,No,98,19,0.379
1540,Finance,11-06-2025 09:02,26,All-Hands,8,129,Yes,52,16,0.677
1951,Finance,03-08-2025 17:57,115,Team,2,183,No,66,16,0.521
1408,Sales,18-08-2025 00:40,16,All-Hands,3,219,No,72,4,0.168
1123,Tech,15-07-2025 04:46,110,Team,2,128,Yes,68,1,0.736
1346,HR,13-08-2025 10:23,67,Team,13,217,Yes,81,5,0.704
1007,HR,08-02-2025 15:17,46,01:01,8,67,Yes,60,16,0.702
1069,HR,14-01-2025 13:47,52,Client,9,68,Yes,83,5,0.607
1526,Tech,19-05-2025 17:14,100,Client,12,239,No,65,0,0.346
1219,Finance,31-07-2025 21:34,87,Team,13,186,No,55,15,0.442
1248,Ops,27-05-2025 10:57,107,All-Hands,4,147,Yes,85,18,0.906
1096,HR,11-02-2025 01:23,104,All-Hands,4,146,No,69,6,0.378
1433,Ops,13-08-2025 05:24,66,All-Hands,10,160,Yes,89,6,0.689
1689,HR,02-07-2025 04:26,96,01:01,9,128,No,60,17,0.461
1745,Sales,01-04-2025 06:43,37,01:01,11,98,Yes,56,15,0.682
1196,Tech,20-02-2025 10:04,104,All-Hands,10,243,Yes,98,1,0.767
1432,Tech,17-01-2025 04:14,15,Client,13,196,No,86,8,0.196
1255,HR,01-07-2025 11:24,119,All-Hands,4,146,Yes,97,15,0.906
1051,Finance,20-08-2025 17:06,17,01:01,5,151,Yes,82,19,0.693
1948,Tech,17-04-2025 12:11,89,Team,2,199,No,85,5,0.352
1497,Ops,07-06-2025 07:22,118,Team,5,226,No,97,2,0.405
1924,HR,17-03-2025 01:30,39,Team,14,145,No,95,17,0.326
1002,Ops,17-01-2025 21:00,80,Client,7,162,No,65,8,0.345
1292,Ops,18-04-2025 04:20,114,All-Hands,2,67,Yes,82,13,0.842
1194,Sales,23-06-2025 20:31,35,Team,5,247,Yes,57,6,0.646
1593,Finance,28-05-2025 06:58,81,01:01,2,127,No,82,15,0.403
1058,HR,14-04-2025 04:42,90,All-Hands,12,114,Yes,71,13,0.801
1058,Finance,11-07-2025 10:58,44,01:01,7,229,Yes,94,18,0.782
1070,Finance,17-02-2025 19:29,68,01:01,9,26,Yes,76,1,0.59
1413,HR,28-01-2025 23:12,35,Team,2,27,Yes,96,0,0.498
1634,HR,13-08-2025 02:29,83,All-Hands,13,60,No,97,18,0.412
1957,Sales,13-06-2025 15:06,18,Team,4,191,No,98,16,0.281
1244,Sales,08-03-2025 20:32,58,All-Hands,13,157,Yes,78,13,0.738
1687,Sales,11-03-2025 00:54,20,All-Hands,4,123,No,90,4,0.139
1951,HR,06-04-2025 11:00,38,01:01,14,240,No,95,2,0.211
1636,Finance,31-07-2025 05:22,74,01:01,2,115,Yes,70,0,0.631
1550,Tech,01-04-2025 13:06,81,Client,3,24,Yes,91,2,0.632
1955,Sales,08-01-2025 07:19,118,01:01,9,113,Yes,81,14,0.88
1378,Sales,25-06-2025 15:04,100,Team,8,193,No,76,9,0.417
1853,Finance,04-02-2025 11:44,16,Client,11,16,Yes,89,0,0.446
1683,Finance,21-06-2025 04:47,23,Client,12,245,Yes,97,6,0.616
1961,Tech,29-06-2025 04:53,107,Client,11,246,Yes,75,2,0.786
1911,HR,29-06-2025 22:39,64,Team,10,151,No,62,6,0.28
1288,Finance,17-05-2025 03:49,71,Team,5,172,No,69,0,0.246
1208,Sales,28-07-2025 08:45,22,All-Hands,13,114,No,72,14,0.241
1927,HR,07-07-2025 02:07,106,01:01,3,65,No,81,18,0.471
1849,Sales,06-02-2025 22:50,39,01:01,11,62,Yes,71,16,0.682
1341,Tech,18-06-2025 14:22,66,Client,11,69,Yes,64,10,0.693
1759,Ops,07-03-2025 04:49,74,All-Hands,6,224,Yes,57,11,0.785
1114,HR,09-01-2025 23:50,19,Team,8,195,Yes,55,12,0.645
1854,Sales,05-05-2025 15:14,110,Team,5,93,No,96,2,0.332
1130,HR,08-05-2025 13:26,69,Client,9,51,No,65,12,0.313
1920,HR,06-07-2025 22:19,44,Client,4,144,Yes,68,4,0.608
1698,Tech,30-03-2025 00:45,104,01:01,6,61,No,72,8,0.364
1798,Finance,06-08-2025 01:41,26,All-Hands,6,128,Yes,50,14,0.656
1947,Tech,07-04-2025 06:04,48,Team,7,47,Yes,74,7,0.609
1902,Ops,27-01-2025 21:51,15,01:01,14,230,Yes,54,2,0.549
1754,Sales,01-06-2025 17:38,90,All-Hands,11,143,Yes,86,13,0.812
1273,Tech,10-06-2025 12:50,106,01:01,6,46,No,98,13,0.413
1893,HR,16-03-2025 13:15,76,All-Hands,5,196,Yes,61,15,0.818
1204,Ops,06-08-2025 22:09,104,Client,11,175,No,70,6,0.39
1840,Tech,06-08-2025 06:31,114,Team,2,221,Yes,86,9,0.863
1675,Tech,27-01-2025 06:10,83,All-Hands,5,33,No,80,9,0.311
1285,HR,24-07-2025 08:46,33,Client,11,95,No,50,4,0.161
1656,Finance,15-08-2025 15:14,18,All-Hands,9,79,No,51,16,0.237
1961,HR,22-06-2025 06:47,106,01:01,12,83,No,73,11,0.408
1182,Finance,28-01-2025 17:37,64,Client,4,123,Yes,82,0,0.609
1111,Finance,27-07-2025 20:00,75,All-Hands,4,170,No,86,11,0.365
1746,Sales,18-03-2025 15:41,81,All-Hands,2,160,Yes,89,9,0.756
1394,Finance,21-07-2025 16:41,57,Team,13,28,No,62,11,0.264
1045,Ops,14-06-2025 10:30,109,01:01,3,242,Yes,99,2,0.789
1372,Ops,28-07-2025 08:53,101,01:01,2,89,No,57,9,0.378
1638,Sales,30-07-2025 02:01,104,01:01,3,114,No,90,6,0.366
1519,Sales,25-04-2025 13:32,82,All-Hands,11,244,No,99,12,0.423
1412,Sales,02-03-2025 21:54,89,Team,14,119,Yes,85,3,0.7
1430,Ops,22-07-2025 18:19,24,Team,6,200,No,73,2,0.16
1415,Finance,07-04-2025 19:35,63,01:01,4,239,No,85,17,0.423
1293,Tech,14-07-2025 22:17,117,All-Hands,9,150,No,81,4,0.393
1476,Ops,26-07-2025 22:32,26,All-Hands,2,182,Yes,62,2,0.558
1523,Ops,26-06-2025 19:32,119,Team,2,112,Yes,69,15,0.892
1290,Finance,12-01-2025 11:22,103,Client,7,140,Yes,68,16,0.874
1838,Tech,21-03-2025 21:23,114,Client,13,188,Yes,90,18,0.94
1825,Tech,15-07-2025 08:12,90,Team,10,198,Yes,77,13,0.834
1047,Tech,14-01-2025 06:01,109,All-Hands,5,82,Yes,96,15,0.855
1466,Ops,07-06-2025 08:13,83,Team,4,139,No,74,19,0.453
1506,Ops,20-06-2025 00:03,99,Team,5,52,Yes,72,15,0.818
1671,HR,20-06-2025 03:14,71,01:01,8,108,No,91,6,0.281
1224,Tech,11-01-2025 22:41,28,All-Hands,11,132,Yes,84,10,0.623
1570,Tech,29-01-2025 21:33,89,01:01,3,238,No,61,8,0.398
1136,Ops,22-07-2025 06:22,88,Client,11,235,No,66,5,0.364
1627,Finance,24-01-2025 05:27,21,All-Hands,14,167,No,91,8,0.199
1918,Tech,15-08-2025 22:51,64,All-Hands,12,121,No,51,4,0.248
1265,Tech,16-03-2025 05:17,43,Client,6,165,No,68,7,0.243
1641,Tech,01-02-2025 23:26,79,Client,7,243,No,66,6,0.355
1079,Sales,25-06-2025 13:45,103,Team,14,131,No,85,5,0.36
1343,Sales,26-02-2025 08:23,45,01:01,4,188,Yes,93,6,0.648
1154,Tech,29-07-2025 17:29,105,All-Hands,11,89,Yes,68,6,0.758
1723,Tech,16-05-2025 02:57,81,01:01,14,140,No,99,19,0.449
1417,Sales,23-02-2025 08:10,106,All-Hands,9,60,No,90,6,0.349
1063,Tech,09-05-2025 21:05,15,All-Hands,4,204,No,77,16,0.279
1926,Finance,15-06-2025 18:11,39,01:01,9,160,No,87,5,0.212
1488,HR,25-07-2025 01:35,72,Client,13,172,No,81,12,0.369
1771,Ops,19-02-2025 01:18,75,All-Hands,6,79,Yes,70,10,0.719
1499,Tech,17-01-2025 22:53,115,Client,5,226,No,68,19,0.568
1497,HR,12-08-2025 09:18,71,All-Hands,3,46,No,90,16,0.356
1684,Ops,16-06-2025 01:40,28,Team,2,116,No,52,15,0.266
1941,Tech,09-02-2025 01:48,101,01:01,10,202,No,61,9,0.423
1606,Finance,21-04-2025 02:36,110,01:01,9,101,Yes,61,7,0.785
1658,Ops,16-08-2025 20:56,106,Team,5,89,No,57,17,0.471
1186,HR,29-07-2025 04:34,42,Client,13,100,No,90,3,0.175
1335,Tech,31-05-2025 14:30,78,All-Hands,12,245,No,66,8,0.373
1345,Ops,30-05-2025 09:32,47,Client,6,211,No,62,15,0.352
1258,HR,12-04-2025 07:47,43,All-Hands,14,45,Yes,84,5,0.576
1767,Finance,03-08-2025 11:57,96,01:01,4,196,No,96,1,0.328
1229,HR,02-08-2025 02:07,24,01:01,9,29,Yes,99,12,0.592
1972,Tech,09-04-2025 09:57,19,Team,8,247,Yes,82,0,0.546
1636,Tech,03-04-2025 00:10,32,Team,2,10,Yes,70,16,0.644
1484,HR,07-04-2025 21:56,91,Team,2,97,No,90,2,0.286
1716,Sales,04-01-2025 11:39,15,Client,6,239,Yes,55,16,0.693
1620,Finance,11-08-2025 11:57,83,01:01,6,101,Yes,52,4,0.688
1987,Sales,11-06-2025 22:17,67,01:01,6,201,Yes,59,18,0.828
1951,Sales,17-05-2025 14:20,31,All-Hands,6,77,No,58,13,0.238
1964,Tech,12-02-2025 14:26,15,01:01,4,172,Yes,62,3,0.536
1104,Sales,22-02-2025 09:11,76,01:01,2,112,Yes,89,1,0.645
1355,Finance,11-07-2025 16:37,106,All-Hands,9,38,No,75,1,0.29
1070,Finance,16-03-2025 17:26,68,Client,7,2,Yes,99,11,0.681
1869,Ops,19-03-2025 18:12,79,All-Hands,7,235,Yes,54,16,0.852
1443,Sales,21-08-2025 03:06,61,All-Hands,8,206,Yes,86,13,0.765
1445,Tech,29-03-2025 10:01,80,Client,12,178,No,88,5,0.321
1476,Ops,21-02-2025 03:55,78,Client,13,225,No,87,17,0.455
1872,Tech,26-06-2025 14:24,112,01:01,3,29,No,64,18,0.472
1902,Ops,01-01-2025 08:09,77,Team,3,51,No,87,0,0.213
1583,Finance,21-04-2025 03:16,102,All-Hands,13,29,No,91,18,0.447
1029,Ops,17-04-2025 20:36,95,Client,6,28,Yes,53,9,0.739
1499,Tech,03-04-2025 05:55,70,Client,2,73,No,66,19,0.394
1348,Sales,19-03-2025 10:51,102,Client,6,33,Yes,55,1,0.678
1529,Tech,02-05-2025 11:21,91,01:01,12,42,Yes,97,10,0.744
1737,Ops,16-06-2025 02:14,37,All-Hands,8,79,Yes,80,10,0.624
1707,Ops,21-08-2025 22:07,30,All-Hands,9,131,No,89,3,0.157
1811,HR,04-04-2025 12:17,70,01:01,10,194,No,81,2,0.273
1226,Ops,28-04-2025 11:08,41,Team,14,159,No,99,18,0.346
1679,Finance,26-01-2025 13:36,33,Client,6,4,No,67,9,0.174
1566,Finance,15-07-2025 03:54,75,Client,7,148,No,55,0,0.247
1763,Finance,14-01-2025 04:06,19,Client,10,11,No,75,13,0.182
1719,Ops,12-05-2025 18:03,48,Client,2,77,No,75,12,0.271
1257,Tech,21-01-2025 14:26,41,01:01,10,25,Yes,96,14,0.653
1323,HR,07-05-2025 01:20,70,Team,12,62,Yes,97,16,0.76
1221,Ops,13-05-2025 22:55,40,Client,5,0,No,57,16,0.26
1102,Tech,08-04-2025 14:02,113,Client,14,179,Yes,64,14,0.894
1369,Tech,23-02-2025 21:47,70,Client,7,13,Yes,75,13,0.71
1725,Finance,26-01-2025 14:23,102,Team,3,108,No,75,13,0.428
1046,HR,14-07-2025 03:39,73,Client,9,114,Yes,56,2,0.648
1653,Ops,04-02-2025 08:06,37,01:01,12,238,Yes,94,17,0.758
1587,Sales,18-03-2025 16:10,52,All-Hands,4,114,No,64,4,0.216
1451,Sales,05-07-2025 00:08,42,Team,11,38,Yes,66,6,0.58
1258,Ops,31-05-2025 09:41,100,01:01,11,125,Yes,93,16,0.86
1410,Ops,07-08-2025 10:44,27,01:01,5,24,Yes,53,9,0.567
1155,Tech,11-08-2025 20:57,81,Client,10,108,Yes,67,14,0.786
1254,HR,24-02-2025 20:59,114,All-Hands,7,33,Yes,96,7,0.768
1794,Finance,16-03-2025 21:18,54,All-Hands,2,235,No,68,9,0.319
1930,Ops,20-06-2025 22:26,55,Client,6,5,No,75,1,0.149
1312,Finance,19-08-2025 14:00,73,01:01,9,58,Yes,94,5,0.656
1970,Tech,09-02-2025 20:13,115,Team,10,32,No,71,5,0.35
1676,HR,04-05-2025 13:44,84,Team,8,111,Yes,53,10,0.754
1177,Finance,16-01-2025 22:42,76,01:01,9,54,Yes,58,2,0.632
1002,Ops,22-07-2025 05:36,45,All-Hands,9,228,No,85,5,0.254
1298,HR,16-04-2025 08:30,80,Team,5,219,No,60,3,0.318
1723,Sales,14-02-2025 10:12,93,All-Hands,7,117,Yes,98,5,0.729
1703,Tech,30-04-2025 08:35,65,Client,10,193,Yes,64,10,0.74
1435,HR,07-01-2025 06:49,22,Team,11,178,Yes,94,11,0.636
1930,Sales,13-02-2025 01:09,19,Team,7,153,Yes,53,18,0.689
1061,Tech,09-02-2025 09:02,98,Client,2,19,No,98,11,0.363
1449,HR,03-05-2025 15:52,61,All-Hands,2,89,No,63,5,0.238
1716,Ops,08-06-2025 17:35,51,Client,12,99,No,62,10,0.267
1448,HR,21-03-2025 22:46,17,01:01,2,133,No,99,9,0.186
1752,Sales,14-06-2025 10:22,19,Client,8,137,Yes,93,1,0.512
1093,Tech,17-07-2025 14:09,27,01:01,9,129,No,69,0,0.119
1590,HR,18-08-2025 19:20,77,Team,6,72,No,66,8,0.301
1531,Ops,30-05-2025 07:52,89,Client,9,37,Yes,84,16,0.797
1599,Ops,28-06-2025 13:46,83,All-Hands,13,235,Yes,99,13,0.832
1481,Sales,14-07-2025 08:00,89,All-Hands,10,161,No,61,2,0.307
1328,HR,29-03-2025 11:51,49,Team,2,39,No,71,7,0.208
1421,Ops,15-07-2025 01:55,25,Client,10,228,No,63,2,0.174
1833,Finance,08-03-2025 04:17,99,01:01,6,4,No,68,13,0.379
1090,Sales,06-01-2025 18:05,40,Client,5,88,No,94,9,0.225
1118,Ops,02-05-2025 06:55,103,01:01,3,39,No,57,6,0.333
1423,HR,30-07-2025 19:38,118,Team,4,124,No,87,0,0.345
1637,Ops,03-05-2025 14:46,37,All-Hands,2,152,Yes,66,0,0.553
1208,Sales,01-01-2025 18:38,80,Team,6,103,No,89,18,0.421
1448,Ops,03-06-2025 18:52,53,01:01,4,197,Yes,55,2,0.631
1996,Finance,30-01-2025 09:46,21,Team,4,199,Yes,91,19,0.722
1318,Finance,24-03-2025 23:51,29,01:01,14,32,No,79,6,0.145
1095,Tech,27-03-2025 12:02,41,01:01,5,156,No,87,0,0.165
1969,HR,28-06-2025 04:28,115,Team,12,182,No,82,3,0.39
1955,Sales,05-05-2025 08:01,100,Client,3,9,No,54,9,0.344
1854,Ops,03-04-2025 05:13,111,All-Hands,7,37,Yes,62,14,0.832
1467,Finance,04-01-2025 22:11,114,Team,14,215,No,64,7,0.441
1195,Finance,04-05-2025 00:26,19,Team,14,46,Yes,53,11,0.576
1282,Ops,31-05-2025 10:37,59,Client,3,154,No,80,18,0.389
1840,HR,30-06-2025 00:30,50,Client,5,25,No,92,4,0.175
1857,Finance,21-07-2025 17:01,34,All-Hands,12,73,Yes,89,5,0.564
1457,Finance,26-05-2025 05:56,20,All-Hands,9,22,No,96,13,0.189
1340,Finance,08-06-2025 13:26,26,All-Hands,11,140,No,89,17,0.291
1955,Sales,26-04-2025 21:50,103,Team,2,110,Yes,89,10,0.801
1585,Ops,15-05-2025 01:32,90,Team,13,99,No,97,3,0.295
1044,Sales,28-07-2025 21:40,19,All-Hands,9,36,No,57,9,0.152
1395,Tech,25-02-2025 21:30,106,All-Hands,11,136,Yes,78,13,0.849
1129,Finance,26-07-2025 10:28,54,Client,10,213,Yes,60,0,0.62
1895,Ops,29-04-2025 10:11,60,01:01,6,148,No,75,13,0.339
1015,Tech,18-08-2025 06:30,50,All-Hands,7,214,Yes,50,18,0.791
1076,Ops,30-04-2025 20:41,54,Client,6,174,No,58,8,0.285
1638,Ops,26-06-2025 11:15,88,01:01,5,56,No,75,8,0.322
1872,Finance,09-02-2025 01:21,49,All-Hands,5,24,No,75,10,0.232
1641,Ops,25-04-2025 00:51,52,01:01,3,134,Yes,67,1,0.594
1240,Sales,26-07-2025 12:26,105,Team,2,127,Yes,92,11,0.823
1444,HR,26-04-2025 17:43,65,01:01,7,151,No,74,6,0.283
1170,Sales,14-01-2025 22:59,66,01:01,7,244,Yes,73,0,0.663
1332,HR,13-06-2025 21:40,63,Client,14,62,No,92,17,0.352
1383,Ops,17-02-2025 07:02,99,Team,2,198,Yes,66,19,0.917
1543,Ops,05-08-2025 03:23,119,Team,2,147,Yes,71,7,0.826
1179,HR,24-04-2025 00:03,63,All-Hands,8,0,Yes,81,12,0.677
1509,Finance,15-04-2025 13:30,108,Team,8,178,Yes,68,16,0.901
1472,Sales,11-07-2025 13:46,59,All-Hands,14,29,No,65,7,0.229
1682,HR,18-05-2025 02:17,33,All-Hands,3,0,No,63,18,0.263
1693,Finance,03-08-2025 17:46,61,Team,3,193,Yes,77,16,0.79
1452,Sales,10-03-2025 03:01,108,Client,7,178,No,53,0,0.341
1706,Sales,12-06-2025 22:59,22,All-Hands,14,54,No,88,2,0.097
1203,Ops,14-02-2025 23:56,46,All-Hands,11,201,Yes,68,13,0.725
1242,Ops,27-05-2025 19:11,48,Client,13,224,No,72,17,0.38
1716,Sales,31-07-2025 13:42,21,01:01,14,7,No,50,2,0.075
1281,HR,13-01-2025 01:40,102,01:01,8,186,No,57,14,0.469
1852,Sales,10-03-2025 15:30,115,Team,4,50,No,82,14,0.448
1224,Tech,21-07-2025 08:27,22,Client,3,34,Yes,81,13,0.599
1643,HR,25-01-2025 05:29,46,01:01,9,45,No,92,15,0.283
1807,Ops,15-03-2025 10:03,82,01:01,5,164,No,70,13,0.401
1749,Tech,02-01-2025 12:46,109,01:01,8,175,No,67,6,0.402
1334,Ops,11-04-2025 23:59,88,Team,8,160,Yes,72,18,0.864
1135,Finance,27-05-2025 18:13,33,Client,5,28,No,67,1,0.104
1850,Tech,11-02-2025 10:43,15,Client,6,147,No,60,9,0.186
1990,Sales,10-05-2025 11:28,16,Client,4,214,Yes,61,19,0.716
1479,HR,01-05-2025 11:49,19,Team,6,165,Yes,79,8,0.594
1880,Ops,09-04-2025 01:03,112,Client,6,171,Yes,84,19,0.938
1809,Ops,06-02-2025 09:51,100,01:01,13,23,No,66,9,0.349
1549,HR,29-07-2025 10:13,44,All-Hands,9,58,No,95,16,0.293
1688,Sales,20-08-2025 22:23,95,All-Hands,10,39,No,51,12,0.373
1110,Tech,21-01-2025 22:16,39,All-Hands,8,200,Yes,71,10,0.677
1634,Finance,05-08-2025 03:37,18,Client,11,185,Yes,78,12,0.639
1663,HR,08-06-2025 23:12,112,All-Hands,8,36,No,60,5,0.344
1664,Ops,14-08-2025 09:51,32,01:01,6,41,Yes,85,8,0.576
1046,HR,28-05-2025 02:58,52,Client,3,16,No,86,5,0.186
1118,HR,04-02-2025 15:39,90,Team,8,116,Yes,91,5,0.721
1397,Ops,29-01-2025 05:23,105,Client,9,97,No,61,12,0.421
1601,Tech,06-06-2025 10:10,67,All-Hands,8,137,Yes,94,16,0.782
1853,Ops,22-01-2025 06:28,40,All-Hands,6,219,No,95,1,0.198
1033,Sales,24-01-2025 22:15,68,Team,12,192,No,85,18,0.427
1455,Tech,26-07-2025 06:11,40,Client,14,148,Yes,60,7,0.629
1702,Sales,13-02-2025 20:32,25,Client,5,112,Yes,88,7,0.577
1407,Sales,15-03-2025 10:25,113,Team,7,97,Yes,96,4,0.761
1971,Ops,22-05-2025 21:20,70,01:01,2,249,Yes,85,14,0.815
1657,Finance,29-05-2025 07:55,34,01:01,4,226,Yes,92,16,0.735
1805,Sales,23-01-2025 08:26,76,Team,12,108,Yes,92,1,0.643
1805,Finance,08-03-2025 15:56,87,Team,11,193,Yes,58,8,0.775
1849,Finance,28-05-2025 07:12,54,Team,2,128,Yes,74,10,0.686
1832,Tech,20-04-2025 13:20,118,Client,11,24,Yes,88,2,0.725
1807,Finance,08-04-2025 12:38,17,01:01,3,228,No,93,11,0.244
1879,Tech,13-06-2025 23:17,65,Team,7,97,No,61,18,0.381
1817,Tech,08-01-2025 22:49,115,01:01,13,186,Yes,98,16,0.922
1134,HR,17-02-2025 15:22,88,Client,10,54,Yes,98,14,0.782
1602,Sales,16-05-2025 21:40,26,01:01,9,82,Yes,57,16,0.658
1271,HR,07-05-2025 09:13,101,Team,6,117,No,65,5,0.349
1538,HR,14-03-2025 23:43,86,01:01,10,209,No,74,11,0.409
1459,Sales,27-01-2025 07:12,29,01:01,12,153,No,90,12,0.254
1515,Tech,05-08-2025 12:11,40,01:01,11,15,No,56,16,0.266
1469,HR,23-06-2025 07:23,37,01:01,11,212,No,71,6,0.237
1867,Ops,03-06-2025 05:38,28,All-Hands,6,6,Yes,58,18,0.652
1502,Ops,09-01-2025 15:22,62,01:01,9,241,Yes,72,17,0.821
1329,Finance,04-06-2025 22:02,109,Team,5,166,Yes,84,17,0.909
1129,Sales,24-07-2025 03:09,73,Client,11,102,No,66,13,0.353
1611,Finance,06-07-2025 05:01,45,Client,9,226,No,93,12,0.323
1517,Finance,30-07-2025 11:11,112,All-Hands,4,36,Yes,92,7,0.764
1812,HR,04-05-2025 04:49,104,Team,8,214,No,93,6,0.406
1462,Tech,27-03-2025 20:44,29,All-Hands,9,240,No,53,12,0.288
1847,Ops,11-05-2025 09:07,96,All-Hands,2,15,No,94,9,0.336
1747,HR,15-06-2025 23:09,80,Client,8,226,No,91,1,0.3
1320,Sales,12-07-2025 20:13,44,Client,12,246,Yes,62,12,0.728
1703,Ops,22-01-2025 04:46,32,01:01,4,122,Yes,88,13,0.659
1851,HR,15-01-2025 01:47,43,01:01,2,220,No,93,15,0.346
1098,Sales,18-04-2025 16:47,70,Team,13,238,Yes,59,6,0.73
1600,Finance,24-01-2025 17:39,98,Client,6,64,Yes,79,16,0.831
1420,Sales,12-04-2025 00:24,17,All-Hands,14,141,Yes,79,17,0.669
1991,Sales,13-08-2025 14:12,82,Client,3,189,No,86,15,0.431
1106,Finance,01-05-2025 02:59,79,Team,6,237,Yes,64,8,0.772
1672,Ops,10-02-2025 14:24,29,Team,2,120,Yes,73,3,0.551
1358,Finance,12-04-2025 14:04,26,Client,12,249,Yes,86,4,0.605
1780,Sales,08-08-2025 18:32,57,Team,13,197,No,88,13,0.351
1865,Finance,17-02-2025 10:31,102,01:01,12,61,No,62,1,0.289
1029,Tech,04-08-2025 03:43,39,Client,8,51,No,53,7,0.188
1943,Sales,24-07-2025 13:27,34,Client,14,62,Yes,94,13,0.64
1185,Tech,14-01-2025 14:15,88,All-Hands,12,225,Yes,75,8,0.79
1145,HR,22-06-2025 15:35,17,01:01,9,5,Yes,54,4,0.485
1385,Ops,02-04-2025 18:12,68,All-Hands,8,176,No,58,2,0.26
1161,Sales,07-05-2025 06:44,34,Client,11,240,No,91,2,0.201
1795,Finance,26-07-2025 13:45,64,01:01,3,61,Yes,66,2,0.604
1159,Tech,08-03-2025 04:29,46,01:01,4,229,Yes,62,14,0.747
1278,Ops,25-06-2025 15:06,103,All-Hands,10,67,No,63,4,0.324
1621,Ops,19-06-2025 20:22,112,All-Hands,12,104,No,52,8,0.402
1220,Finance,04-07-2025 03:04,81,01:01,10,225,No,61,9,0.383
1440,HR,19-03-2025 10:36,23,Client,9,24,No,54,10,0.167
1539,Sales,05-01-2025 21:29,73,01:01,3,215,Yes,64,5,0.719
1404,Finance,26-06-2025 09:12,86,01:01,12,132,Yes,97,17,0.838
1209,Sales,29-05-2025 09:15,84,Team,6,59,Yes,97,12,0.754
1782,Sales,09-05-2025 14:09,42,Client,6,204,No,66,17,0.357
1122,HR,05-03-2025 17:24,54,All-Hands,14,223,No,78,18,0.404
